Year,Make,Model,Body Type,Mileage,Price Sold,Year Sold
1988,Ford,Mustang,Sedan,84430,7500,2020
1958,Replica/Kit Makes,Jaguar Beck Lister,Convertible,0,15000,2019
1995,Jaguar,Xjs,Convertible,55000,8750,2020
1968,Ford,Mustang,Coupe,97200,11600,2019
2002,Porsche,911,Coupe,40703,44000,2019
1965,Mercury,Montclair,Sedan,71300,950,2020
1965,Mercury,Montclair,Sedan,71300,950,2020
2001,Honda,Civic,Coupe,167000,1330,2019
2015,Jeep,Wrangler,Suv,51674,20000,2020
2012,Jeep,Wrangler,Suv,109500,14100,2019
1949,Ford,F-100,Standard Cab Pickup,1000000,5700,2020
2009,Toyota,Prius,Sedan/Hatchback,101501,6000,2020
1985,Toyota,Celica,Hatchback,118513,4000,2020
2004,Buick,Lesabre,Sedan,47692,3330,2020
2006,Nissan,Altima,Sedan,166000,1480,2020
2002,Chevrolet,Camaro,Coupe,6714,18550,2019
1960,Ford,F-100,Standard Cab Pickup,140309,4300,2019
1978,Ford,F-250,Standard Cab Pickup,151361,4750,2019
2004,Nissan,Maxima,Sedan,95600,3050,2020
2009,Nissan,Altima,Sedan,100427,4050,2020
2008,Toyota,Corolla,Sedan,82301,4050,2020
2002,Toyota,Tacoma,Standard Cab Pickup,92605,5000,2020
2008,Subaru,Impreza,Sedan,87201,3550,2020
2006,Honda,Cr-V,Suv,144868,3500,2019
1967,Oldsmobile,442,Coupe Hard Top,64020,17980,2019
2005,Jeep,Grand Cherokee,Suv,182000,3400,2019
2003,Mercedes-Benz,S-Class,Sedan,180000,4600,2019
1985,Porsche,944,Coupe,125000,2500,2020
1964,Studebaker,Daytona,Wagon,22000,18000,2019
1964,Studebaker,Daytona,Wagon,12057,10600,2020
1976,Chevrolet,Corvette,Coupe,13127,8800,2020
2001,Chevrolet,Astro,Standard Cargo Van,167435,2000,2020
1968,Chevrolet,Nova,Coupe,50,24600,2019
2016,Ford,Mustang,Coupe,2357,45400,2019
2016,Dodge,Charger,Sedan,2640,49810,2019
1988,Ford,Mustang,Convertible,88600,6100,2020
1957,Chevrolet,Bel Air/150/210,Wagon,80000,3810,2019
2010,Cadillac,Cts,Wagon,143250,5600,2019
1988,Cadillac,Allante,2-Seater Convertible,89000,6500,2019
1946,Ford,Tudor,Sedan,4327,16450,2019
2004,Jaguar,Xjr,Sedan,99200,5100,2020
1987,Ford,Mustang,Coupe,144002,760,2019
1992,Ford,Mustang,Coupe,51793,13410,2019
2008,Chevrolet,Hhr,Ll,234110,1000,2019
1990,Mercedes-Benz,G-Class,Wagon,85000,5600,2019
1991,Mercedes-Benz,300-Series,Sedan,216932,2150,2020
1991,Mercedes-Benz,300-Series,Sedan,168544,4940,2019
1984,Cadillac,Fleetwood,Sedan,18100,9600,2020
1998,Bmw,7-Series,Sedan,24800,16000,2019
2009,Maserati,Gran Turismo,Coupe,26000,31000,2019
1966,Cadillac,Deville Sedan,Sedan,101862,10000,2020
1966,Plymouth,Belvedere,Convertible,155861,11500,2019
1989,Bmw,3-Series,Convertible,170285,5000,2020
1931,Ford,Model A,Convertible,6756,15000,2019
1949,Ford,Wagon,Wagon,31008,22770,2019
2006,Dodge,Sprinter,Cargo Van,81976,15700,2019
1970,Dodge,Challenger,Coupe,99999,25100,2020
1956,Chevrolet,Bel Air/150/210,Sedan,100000,1380,2019
2006,Chrysler,300 Series,Sedan,101249,3500,2020
2007,Chevrolet,Corvette,Coupe,25165,29000,2020
2002,Chevrolet,Silverado 2500,Crew Cab Pickup,210500,4000,2019
1987,Chevrolet,Camaro,Coupe,21632,10010,2019
1989,Ferrari,Mondial,Convertible,21750,34200,2018
1973,Volkswagen,Beetle - Classic,Coupe,10000,5500,2019
1997,Chevrolet,C/K Pickup 3500,Extended Cab Pickup,286731,5000,2019
2007,Mercedes-Benz,S-Class,Sedan,186207,3900,2019
1967,Ford,Mustang,Coupe,1008,16600,2019
1985,Ford,Mustang,Convertible,56054,9400,2020
1973,Ford,Bronco,Suv,18745,30000,2020
1983,Chevrolet,Other Pickups,Crew Cab Pickup,58694,5100,2020
1977,Dodge,Power Wagon,Standard Cab Pickup,60200,3500,2019
1973,Dodge,Dart,Sedan,0,9600,2019
2000,Toyota,Tundra,Standard Cab Pickup,220,1500,2019
1978,Jeep,Cj,Suv,100000,6700,2020
1999,Porsche,Boxster,Convertible,135000,7100,2020
1972,Chevrolet,Blazer,Suv,999999,31100,2020
1993,Ford,Mustang,Convertible,89592,2650,2020
1998,Jaguar,Xk8,Coupe,127001,2850,2020
1999,Jaguar,Xk8,Convertible,89759,3900,2020
1997,Jaguar,Xk8,Convertible,92450,2720,2020
1997,Jaguar,Xk8,Coupe,143001,3950,2020
1999,Jaguar,Xk8,Convertible,109321,4600,2020
1968,Chevrolet,C-10,Truck,11885,25000,2019
1979,Mercedes-Benz,300-Series,Coupe,323000,5010,2020
2003,Ford,Mustang,Convertible,225000,2030,2020
1947,Oldsmobile,66,Sedan,62241,4110,2019
1974,Volkswagen,Karmann Ghia,Convertible,76494,920,2020
2004,Volkswagen,Passat,Sedan,234000,850,2020
1971,Ford,Mustang,Fastback,10,6200,2020
2018,Ford,Mustang,Coupe,16000,41500,2020
2006,Bmw,3-Series,Sedan,153451,2000,2019
1966,Ford,Mustang,Fastback,99999,14100,2019
1956,Chevrolet,Bel Air/150/210,Sedan,79990,23000,2019
2011,Dodge,Ram 3500,Crew Cab Pickup,57190,34000,2019
1956,Chevrolet,Bel Air/150/210,Wagon,1234567,4200,2019
1978,Dodge,Power Wagon,Standard Cab Pickup,13901,15000,2019
1952,International Harvester,Other,Standard Cab Pickup,130000,6110,2019
2002,Ford,F-350,Crew Cab Pickup,182,2130,2019
1997,Ford,Mustang,Coupe,79400,8650,2019
1937,Cadillac,Other,Limousine,50000,8200,2019
1994,Chevrolet,Corvette,Cpe,100000,7100,2020
1987,Pontiac,Firebird,Fast Back,100000,2500,2019
1957,Chevrolet,Bel Air/150/210,Coupe,100000,26000,2019
2002,Ford,Mustang,Convertible,92500,6300,2020
2003,Ford,Mustang,Convertible,82000,6430,2019
1987,Chevrolet,Monte Carlo,Coupe,84000,10650,2020
1988,Chevrolet,Monte Carlo,Coupe,72000,9600,2019
1987,Chevrolet,Monte Carlo,Coupe,30000,17000,2020
1987,Oldsmobile,442,Coupe,100,6400,2019
1978,Dodge,Power Wagon,Extended Cab Pickup,62123,6360,2020
1978,Volkswagen,Beetle (Pre-1980),Convertible,31750,6500,2020
1975,International Harvester,150,Standard Cab Pickup,30000,16000,2020
1978,Ford,Ranchero,Pickup,100000,720,2020
2002,Chevrolet,Camaro,Coupe,12360,12000,2019
2005,Jeep,Wrangler,Suv,89000,10500,2020
2001,Chevrolet,Corvette,Convertible,68000,13700,2019
1991,Jeep,Wrangler,Convertible,186000,4500,2019
1989,Chevrolet,C/K Pickup 1500,Standard Cab Pickup,252600,6800,2020
2003,Ford,Mustang,Coupe,95000,12100,2020
1950,Other Makes,Devin Crosley,Convertible,0,6600,2019
1967,Plymouth,Barracuda,Fastback,0,13280,2020
1987,Chevrolet,Camaro,Coupe,70728,1930,2019
1977,Volkswagen,Beetle - Classic,Convertible,5000,3050,2019
2001,Ford,F-350,Extended Cab Pickup,274000,10000,2019
2003,Chevrolet,Impala,Sedan,143344,560,2019
1969,Chevrolet,C-10,Standard Cab Pickup,1,15100,2019
1979,Ford,Fairmont,Sedan,79652,1280,2019
2001,Hummer,H1,Suv,112000,30100,2019
1992,Pontiac,Grand Am,Coupe,22943,610,2019
2004,Nissan,Titan,Crew Cab Pickup,212412,1080,2019
2016,Alfa Romeo,4C,Convertible,12952,41400,2019
1990,Mercedes-Benz,Sl-Class,Convertible,112000,6300,2019
1953,Ferrari,Mondial,Barchetta,30000,185000,2019
2007,Ford,Mustang,Coupe,7200,28500,2020
1966,Pontiac,Le Mans,Coupe,26949,23500,2020
1937,Chevrolet,Other Pickups,Standard Cab Pickup,50000,15800,2019
2007,Ford,Mustang,Coupe,34498,32000,2020
2018,Jeep,Wrangler,Suv,3096,44100,2020
1989,Ford,Mustang,Coupe,1000,12600,2019
1991,Ford,Mustang,Hatchback,51370,17000,2019
2007,Lincoln,Town Car,Limousine,274000,4150,2020
2005,Bmw,M3,Convertible,102700,7000,2019
1977,Cadillac,Seville,Sedan,44000,5550,2019
1973,Amc,Hornet,Hatchback,1000000,9600,2019
2004,Pontiac,Gto,Coupe,101677,5000,2019
2002,Honda,Accord,Sedan,219721,1160,2020
1988,Nissan,300Zx,Coupe,225000,1110,2019
1969,Plymouth,Roadrunner,Sedan,44671,10200,2020
